entityid,tick,user_name,x,y,z,round_number,map_name,matchid,mapid,player_team,winner,team_name,is_win,start_tick,round_tick
288,2788,MAJ3R,1275.4731,2043.928,2.9699914,1,de_dust2,21,50,Aurora,CT,T,False,1,2787
101,3129,LNZ,1222.5406,2384.818,99.93687,1,de_dust2,21,50,HEROIC,CT,CT,True,1,3128
122,3899,MAJ3R,1158.3871,2144.9429,3.3944592,1,de_dust2,21,50,Aurora,CT,T,False,1,3898
67,7142,SunPayus,545.7083,649.133,3.3016996,2,de_dust2,21,50,HEROIC,CT,CT,True,5170,1972
100,7857,tN1R,-2011.1835,1441.5303,32.373455,2,de_dust2,21,50,HEROIC,CT,CT,True,5170,2687
323,9623,SunPayus,-326.52362,1588.394,-124.82323,2,de_dust2,21,50,HEROIC,CT,CT,True,5170,4453
348,13266,MAJ3R,-319.54364,1444.0673,-25.829538,3,de_dust2,21,50,Aurora,T,T,True,11229,2037
67,13538,woxic,-398.3288,1640.4344,-125.147446,3,de_dust2,21,50,Aurora,T,T,True,11229,2309
277,13615,yxngstxr,-1987.1598,1461.8751,31.251585,3,de_dust2,21,50,HEROIC,T,CT,False,11229,2386
391,14198,xfl0ud,-157.35799,1304.7465,2.047272,3,de_dust2,21,50,HEROIC,T,CT,False,11229,2969
344,14324,LNZ,600.3966,664.6055,3.002069,3,de_dust2,21,50,HEROIC,T,CT,False,11229,3095
273,14751,XANTARES,-495.551,1729.3774,-120.706894,3,de_dust2,21,50,Aurora,T,T,True,11229,3522
114,16151,MAJ3R,509.11807,2193.1938,98.06063,3,de_dust2,21,50,Aurora,T,T,True,11229,4922
253,16216,SunPayus,-325.30142,1586.2292,-124.7468,3,de_dust2,21,50,HEROIC,T,CT,False,11229,4987
263,16260,tN1R,-1999.1042,1484.1239,32.63034,3,de_dust2,21,50,HEROIC,T,CT,False,11229,5031
195,17382,jottAAA,1095.0413,2176.8328,5.150806,3,de_dust2,21,50,Aurora,T,T,True,11229,6153
340,23604,LNZ,526.68396,643.3198,3.406152,4,de_dust2,21,50,HEROIC,T,CT,False,18917,4687
185,23907,MAJ3R,-394.8432,1639.8695,-125.348305,4,de_dust2,21,50,Aurora,T,T,True,18917,4990
204,23916,Wicadia,-1968.0367,1853.7382,2.6092184,4,de_dust2,21,50,Aurora,T,T,True,18917,4999
191,26309,XANTARES,-161.95451,2094.8362,-124.21881,4,de_dust2,21,50,Aurora,T,T,True,18917,7392
226,27203,MAJ3R,570.0196,2368.6658,66.77257,4,de_dust2,21,50,Aurora,T,T,True,18917,8286
236,27328,jottAAA,481.26926,2073.7441,98.02538,4,de_dust2,21,50,Aurora,T,T,True,18917,8411
366,35567,LNZ,574.45294,628.0829,2.4231825,5,de_dust2,21,50,HEROIC,T,CT,False,31335,4232
196,35867,woxic,-397.14667,1641.0178,-125.22982,5,de_dust2,21,50,Aurora,T,T,True,31335,4532
287,36669,tN1R,-2013.4965,1556.3165,33.588867,5,de_dust2,21,50,HEROIC,T,CT,False,31335,5334
362,37224,xfl0ud,371.79053,1923.4769,97.571045,5,de_dust2,21,50,HEROIC,T,CT,False,31335,5889
237,37716,XANTARES,-189.27103,2163.0276,-124.320885,5,de_dust2,21,50,Aurora,T,T,True,31335,6381
343,38522,Wicadia,-1307.4048,2280.1326,4.86594,5,de_dust2,21,50,Aurora,T,T,True,31335,7187
238,42635,MAJ3R,1161.7726,2146.226,3.4142065,6,de_dust2,21,50,Aurora,T,T,True,39919,2716
379,42666,Wicadia,1173.5659,2163.291,3.8896139,6,de_dust2,21,50,Aurora,T,T,True,39919,2747
267,42946,XANTARES,-1699.1952,872.3982,33.547913,6,de_dust2,21,50,Aurora,T,T,True,39919,3027
377,45750,xfl0ud,-389.3246,1591.8665,-124.89502,7,de_dust2,21,50,HEROIC,CT,CT,True,43579,2171
277,45786,yxngstxr,-1939.5409,1639.9025,34.696075,7,de_dust2,21,50,HEROIC,CT,CT,True,43579,2207
240,45999,woxic,-396.9283,1641.327,-125.24874,7,de_dust2,21,50,Aurora,CT,T,False,43579,2420
261,46189,SunPayus,563.71985,578.4145,3.2419462,7,de_dust2,21,50,HEROIC,CT,CT,True,43579,2610
308,48191,XANTARES,-560.5419,2180.4595,-121.44649,7,de_dust2,21,50,Aurora,CT,T,False,43579,4612
305,48430,jottAAA,1172.368,2151.0547,3.4722655,7,de_dust2,21,50,Aurora,CT,T,False,43579,4851
221,48815,SunPayus,1508.0013,1922.2545,-8.692506,7,de_dust2,21,50,HEROIC,CT,CT,True,43579,5236
327,49340,Wicadia,1087.0668,2222.0864,9.329216,7,de_dust2,21,50,Aurora,CT,T,False,43579,5761
398,52384,tN1R,-420.09955,2293.4927,-113.55364,8,de_dust2,21,50,HEROIC,T,CT,False,50924,1460
228,52880,xfl0ud,546.69934,647.47174,3.2972667,8,de_dust2,21,50,HEROIC,T,CT,False,50924,1956
400,53131,woxic,-396.6286,1640.9924,-125.26075,8,de_dust2,21,50,Aurora,T,T,True,50924,2207
290,56257,XANTARES,-174.61168,2114.4324,-124.70221,8,de_dust2,21,50,Aurora,T,T,True,50924,5333
182,56322,xfl0ud,-303.77853,1482.7601,-123.171875,8,de_dust2,21,50,HEROIC,T,CT,False,50924,5398
312,56414,MAJ3R,591.7814,2377.543,66.77257,8,de_dust2,21,50,Aurora,T,T,True,50924,5490
116,56729,woxic,520.8316,2088.5732,126.58744,8,de_dust2,21,50,Aurora,T,T,True,50924,5805
