0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,4,Aurora,de_nuke,5,NRG,A,54.328125,,,,,,XANTARES,,,,,,0,,,[],,,,0,0,1,0,False
0,0,5,NRG,de_nuke,6,NRG,A,-64.296875,,,,,,oSee,,,,,,0,,,[],,,,0,0,0,0,False
0,0,5,NRG,de_nuke,6,NRG,A,-64.296875,,,,,,HexT,,,,,,0,,,[],,,,0,1,0,0,False
0,0,5,Aurora,de_nuke,6,NRG,A,-64.296875,,,,,,jottAAA,,,,,,1,,,[],,,,1,1,0,0,False
0,0,5,Aurora,de_nuke,6,NRG,A,-64.296875,,,,,,woxic,,,,,,1,,,[],,,,1,0,0,0,True
0,0,5,NRG,de_nuke,6,NRG,A,-64.296875,,,,,,Jeorge,,,,,,0,,,[],,,,0,0,0,0,False
0,0,5,Aurora,de_nuke,6,NRG,A,-64.296875,,,,,,Wicadia,,,,,,2,,,[],,,,1,4,0,0,False
0,0,5,Aurora,de_nuke,6,NRG,A,-64.296875,,,,,,MAJ3R,,,,,,0,,,[],,,,0,0,1,0,False
0,0,5,NRG,de_nuke,6,NRG,A,-64.296875,,,,,,br0,,,,,,1,,,[],,,,1,0,0,1,False
0,0,5,NRG,de_nuke,6,NRG,A,-64.296875,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,5,Aurora,de_nuke,6,NRG,A,-64.296875,,,,,,XANTARES,,,,,,1,,,[],,,,0,4,0,0,False
0,0,6,NRG,de_nuke,7,NRG,B,-25.0,,,,,,oSee,,,,,,0,,,[],,,,0,0,0,0,False
0,0,6,NRG,de_nuke,7,NRG,B,-25.0,,,,,,HexT,,,,,,0,,,[],,,,0,1,0,0,False
0,0,6,Aurora,de_nuke,7,NRG,B,-25.0,,,,,,jottAAA,,,,,,1,,,[],,,,0,3,0,0,False
0,0,6,Aurora,de_nuke,7,NRG,B,-25.0,,,,,,woxic,,,,,,0,,,[],,,,0,0,0,0,True
0,0,6,NRG,de_nuke,7,NRG,B,-25.0,,,,,,Jeorge,,,,,,0,,,[],,,,0,0,0,0,False
0,0,6,Aurora,de_nuke,7,NRG,B,-25.0,,,,,,Wicadia,,,,,,1,,,[],,,,1,0,0,0,False
0,0,6,Aurora,de_nuke,7,NRG,B,-25.0,,,,,,MAJ3R,,,,,,1,,,[],,,,0,4,0,0,False
0,0,6,NRG,de_nuke,7,NRG,B,-25.0,,,,,,br0,,,,,,1,,,[],,,,2,3,0,0,False
0,0,6,NRG,de_nuke,7,NRG,B,-25.0,,,,,,nitr0,,,,,,1,,,[],,,,1,2,0,0,False
0,0,6,Aurora,de_nuke,7,NRG,B,-25.0,,,,,,XANTARES,,,,,,0,,,[],,,,0,2,0,1,False
0,0,7,NRG,de_nuke,8,NRG,B,-66.078125,,,,,,oSee,,,,,,2,,,[],,,,0,1,1,0,False
0,0,7,NRG,de_nuke,8,NRG,B,-66.078125,,,,,,HexT,,,,,,1,,,[],,,,0,1,1,0,False
0,0,7,Aurora,de_nuke,8,NRG,B,-66.078125,,,,,,jottAAA,,,,,,1,,,[],,,,1,1,0,0,False
0,0,7,Aurora,de_nuke,8,NRG,B,-66.078125,,,,,,woxic,,,,,,0,,,[],,,,0,0,1,0,False
0,0,7,NRG,de_nuke,8,NRG,B,-66.078125,,,,,,Jeorge,,,,,,0,,,[],,,,1,1,0,0,False
0,0,7,Aurora,de_nuke,8,NRG,B,-66.078125,,,,,,Wicadia,,,,,,1,,,[],,,,0,4,0,0,False
0,0,7,Aurora,de_nuke,8,NRG,B,-66.078125,,,,,,MAJ3R,,,,,,3,,,[],,,,1,5,2,0,True
0,0,7,NRG,de_nuke,8,NRG,B,-66.078125,,,,,,br0,,,,,,1,,,[],,,,0,0,0,5,False
0,0,7,NRG,de_nuke,8,NRG,B,-66.078125,,,,,,nitr0,,,,,,0,,,[],,,,0,2,1,0,False
0,0,7,Aurora,de_nuke,8,NRG,B,-66.078125,,,,,,XANTARES,,,,,,0,,,[],,,,0,0,0,0,False
0,0,8,NRG,de_nuke,9,NRG,B,-25.0,,,,,,oSee,,,,,,1,,,[],,,,0,5,2,0,False
0,0,8,NRG,de_nuke,9,NRG,B,-25.0,,,,,,HexT,,,,,,0,,,[],,,,0,0,0,0,False
0,0,8,Aurora,de_nuke,9,NRG,B,-25.0,,,,,,jottAAA,,,,,,2,,,[],,,,2,1,0,0,False
0,0,8,Aurora,de_nuke,9,NRG,B,-25.0,,,,,,woxic,,,,,,1,,,[],,,,0,0,2,0,False
0,0,8,NRG,de_nuke,9,NRG,B,-25.0,,,,,,Jeorge,,,,,,0,,,[],,,,0,0,0,0,False
0,0,8,Aurora,de_nuke,9,NRG,B,-25.0,,,,,,Wicadia,,,,,,0,,,[],,,,0,0,0,0,False
0,0,8,Aurora,de_nuke,9,NRG,B,-25.0,,,,,,MAJ3R,,,,,,2,,,[],,,,2,0,0,0,False
0,0,8,NRG,de_nuke,9,NRG,B,-25.0,,,,,,br0,,,,,,1,,,[],,,,1,1,0,0,False
0,0,8,NRG,de_nuke,9,NRG,B,-25.0,,,,,,nitr0,,,,,,0,,,[],,,,0,1,0,0,False
0,0,8,Aurora,de_nuke,9,NRG,B,-25.0,,,,,,XANTARES,,,,,,0,,,[],,,,1,2,0,0,False
0,0,9,NRG,de_nuke,10,NRG,A,-59.234375,,,,,,oSee,,,,,,0,,,[],,,,0,1,0,0,False
0,0,9,NRG,de_nuke,10,NRG,A,-59.234375,,,,,,HexT,,,,,,0,,,[],,,,0,0,0,0,False
0,0,9,Aurora,de_nuke,10,NRG,A,-59.234375,,,,,,jottAAA,,,,,,0,,,[],,,,0,1,0,0,False
0,0,9,Aurora,de_nuke,10,NRG,A,-59.234375,,,,,,woxic,,,,,,1,,,[],,,,0,1,0,0,True
0,0,9,NRG,de_nuke,10,NRG,A,-59.234375,,,,,,Jeorge,,,,,,1,,,[],,,,1,1,1,0,False
0,0,9,Aurora,de_nuke,10,NRG,A,-59.234375,,,,,,Wicadia,,,,,,3,,,[],,,,1,4,2,3,False
0,0,9,Aurora,de_nuke,10,NRG,A,-59.234375,,,,,,MAJ3R,,,,,,0,,,[],,,,0,2,0,0,False
0,0,9,NRG,de_nuke,10,NRG,A,-59.234375,,,,,,br0,,,,,,1,,,[],,,,1,2,1,0,False
0,0,9,NRG,de_nuke,10,NRG,A,-59.234375,,,,,,nitr0,,,,,,1,,,[],,,,0,4,1,0,False
0,0,9,Aurora,de_nuke,10,NRG,A,-59.234375,,,,,,XANTARES,,,,,,1,,,[],,,,1,1,1,0,False
0,0,10,NRG,de_nuke,11,NRG,A,-25.0,,,,,,oSee,,,,,,1,,,[],,,,0,1,0,0,False
0,0,10,NRG,de_nuke,11,NRG,A,-25.0,,,,,,HexT,,,,,,1,,,[],,,,0,2,1,0,False
