entityid,tick,user_name,x,y,z,round_number,map_name,matchid,mapid,player_team,winner,team_name,is_win,start_tick,round_tick
484,104645,EliGE,-2056.3667,364.79807,80.02961,9,de_ancient,0,0,FaZe Clan,CT,CT,True,62763,41882
82,105272,NertZ,1161.9941,238.40833,130.33336,9,de_ancient,0,0,Team Liquid,CT,T,False,62763,42509
495,105329,Skullz,557.6724,-185.90654,154.65475,9,de_ancient,0,0,FaZe Clan,CT,CT,True,62763,42566
356,110839,s1mple,-1091.2852,-886.62415,37.48057,10,de_ancient,0,0,FaZe Clan,T,CT,False,109124,1715
70,110860,ultimate,298.60208,-628.34174,154.14084,10,de_ancient,0,0,Team Liquid,T,T,True,109124,1736
354,110887,NAF,-524.5733,238.82555,162.03125,10,de_ancient,0,0,Team Liquid,T,T,True,109124,1763
332,111112,siuhy,622.3014,-825.35706,92.42175,10,de_ancient,0,0,Team Liquid,T,T,True,109124,1988
72,112295,karrigan,459.003,-559.52,183.69952,10,de_ancient,0,0,FaZe Clan,T,CT,False,109124,3171
476,112336,frozen,-2074.0977,381.5341,75.1656,10,de_ancient,0,0,FaZe Clan,T,CT,False,109124,3212
272,112839,EliGE,-901.2786,-752.9247,36.08178,10,de_ancient,0,0,FaZe Clan,T,CT,False,109124,3715
360,113082,NertZ,-1003.321,-179.27576,98.03125,10,de_ancient,0,0,Team Liquid,T,T,True,109124,3958
219,113799,Skullz,1136.9666,-253.17734,114.37383,10,de_ancient,0,0,FaZe Clan,T,CT,False,109124,4675
332,146182,NAF,-534.0879,232.23859,164.17078,11,de_ancient,0,0,Team Liquid,T,T,True,118274,27908
178,146253,s1mple,-1101.7789,-897.09784,37.175068,11,de_ancient,0,0,FaZe Clan,T,CT,False,118274,27979
322,146273,ultimate,298.18118,-627.9924,154.15742,11,de_ancient,0,0,Team Liquid,T,T,True,118274,27999
72,146556,siuhy,668.34625,-769.1926,82.6563,11,de_ancient,0,0,Team Liquid,T,T,True,118274,28282
217,146611,karrigan,1254.2999,-179.57582,117.904175,11,de_ancient,0,0,FaZe Clan,T,CT,False,118274,28337
90,146911,Skullz,1076.3301,-941.12775,5.5282516,11,de_ancient,0,0,FaZe Clan,T,CT,False,118274,28637
298,149167,NAF,-524.3804,298.95334,162.03128,12,de_ancient,0,0,Team Liquid,T,T,True,147513,1654
297,149339,siuhy,-757.3035,-671.58276,34.05255,12,de_ancient,0,0,Team Liquid,T,T,True,147513,1826
270,149630,Twistzz,639.57056,-840.2323,90.36344,12,de_ancient,0,0,Team Liquid,T,T,True,147513,2117
69,149709,karrigan,326.69745,-913.4853,150.5357,12,de_ancient,0,0,FaZe Clan,T,CT,False,147513,2196
328,150202,NertZ,512.80383,911.6403,113.10988,12,de_ancient,0,0,Team Liquid,T,T,True,147513,2689
225,150438,EliGE,687.6951,838.41705,113.14958,12,de_ancient,0,0,FaZe Clan,T,CT,False,147513,2925
290,167467,frozen,32.753204,678.52124,73.34216,13,de_ancient,0,0,FaZe Clan,T,T,True,151953,15514
311,170012,NAF,522.3331,244.56348,154.72807,13,de_ancient,0,0,Team Liquid,T,CT,False,151953,18059
502,173090,ultimate,-1109.1447,-801.25574,37.230583,14,de_ancient,0,0,Team Liquid,CT,CT,True,171415,1675
195,173204,frozen,-525.74677,-90.62113,63.03125,14,de_ancient,0,0,FaZe Clan,CT,T,False,171415,1789
188,173229,s1mple,-868.42706,-203.69318,80.527565,14,de_ancient,0,0,FaZe Clan,CT,T,False,171415,1814
70,173284,karrigan,-878.09125,-669.3511,44.21455,14,de_ancient,0,0,FaZe Clan,CT,T,False,171415,1869
80,173964,siuhy,307.38736,-849.2674,149.87717,14,de_ancient,0,0,Team Liquid,CT,CT,True,171415,2549
162,174016,NAF,1184.8987,-393.29596,64.290375,14,de_ancient,0,0,Team Liquid,CT,CT,True,171415,2601
248,178051,frozen,-501.07693,255.61774,162.03125,15,de_ancient,0,0,FaZe Clan,T,T,True,176380,1671
153,178106,karrigan,300.7692,-666.53174,154.42403,15,de_ancient,0,0,FaZe Clan,T,T,True,176380,1726
363,179008,EliGE,-899.86383,-158.4909,84.94358,15,de_ancient,0,0,FaZe Clan,T,T,True,176380,2628
196,180936,karrigan,657.9938,494.6314,123.40423,15,de_ancient,0,0,FaZe Clan,T,T,True,176380,4556
349,182125,frozen,684.5462,466.47833,126.20919,15,de_ancient,0,0,FaZe Clan,T,T,True,176380,5745
284,187480,s1mple,-569.01715,252.59647,162.03125,16,de_ancient,0,0,FaZe Clan,T,T,True,185785,1695
224,187518,karrigan,298.66016,-629.7429,154.13855,16,de_ancient,0,0,FaZe Clan,T,T,True,185785,1733
262,188093,EliGE,-885.74506,-164.59695,83.28818,16,de_ancient,0,0,FaZe Clan,T,T,True,185785,2308
287,191362,frozen,-903.37225,1094.9316,68.03125,16,de_ancient,0,0,FaZe Clan,T,T,True,185785,5577
355,194526,s1mple,-517.45703,221.31334,164.1477,17,de_ancient,0,0,FaZe Clan,T,T,True,192863,1663
224,194612,karrigan,299.23813,-629.60956,154.11713,17,de_ancient,0,0,FaZe Clan,T,T,True,192863,1749
284,194725,ultimate,-1132.3813,-1144.7291,-5.4845276,17,de_ancient,0,0,Team Liquid,T,CT,False,192863,1862
363,194836,EliGE,675.8143,-850.6534,85.35065,17,de_ancient,0,0,FaZe Clan,T,T,True,192863,1973
212,195849,NAF,1304.9371,-267.52722,112.36328,17,de_ancient,0,0,Team Liquid,T,CT,False,192863,2986
83,197893,s1mple,-562.8051,253.09001,162.02988,18,de_ancient,0,0,FaZe Clan,CT,T,False,196187,1706
164,197942,ultimate,-790.8805,-641.79266,51.88608,18,de_ancient,0,0,Team Liquid,CT,CT,True,196187,1755
280,198338,karrigan,540.0486,239.3485,154.65475,18,de_ancient,0,0,FaZe Clan,CT,T,False,196187,2151
365,199395,Skullz,-1128.7571,930.907,57.206867,18,de_ancient,0,0,FaZe Clan,CT,T,False,196187,3208
501,199507,frozen,-1294.0419,309.85068,89.03125,18,de_ancient,0,0,FaZe Clan,CT,T,False,196187,3320
461,200466,Twistzz,-2132.2126,520.22284,53.7563,18,de_ancient,0,0,Team Liquid,CT,CT,True,196187,4279
224,200589,NAF,-2087.8638,402.9159,74.92085,18,de_ancient,0,0,Team Liquid,CT,CT,True,196187,4402
194,201622,siuhy,-1574.8966,704.5902,58.03125,18,de_ancient,0,0,Team Liquid,CT,CT,True,196187,5435
280,204456,frozen,-496.54175,329.66635,162.03128,19,de_ancient,0,0,FaZe Clan,T,T,True,202779,1677
216,204462,ultimate,-1115.4265,-868.3142,34.918224,19,de_ancient,0,0,Team Liquid,T,CT,False,202779,1683
324,204586,karrigan,-886.92346,-680.8279,42.106136,19,de_ancient,0,0,FaZe Clan,T,T,True,202779,1807
461,205690,EliGE,-579.6525,236.67838,162.03125,19,de_ancient,0,0,FaZe Clan,T,T,True,202779,2911
283,206447,NAF,1196.1666,-387.85822,65.01558,19,de_ancient,0,0,Team Liquid,T,CT,False,202779,3668
145,207781,frozen,662.37866,425.65988,123.19942,19,de_ancient,0,0,FaZe Clan,T,T,True,202779,5002
263,208391,Skullz,546.0087,872.6769,115.27047,19,de_ancient,0,0,FaZe Clan,T,T,True,202779,5612
377,215640,s1mple,-501.26895,241.10281,162.03125,20,de_ancient,0,0,FaZe Clan,T,T,True,211720,3920
293,215782,Twistzz,-774.2418,-639.5961,37.612663,20,de_ancient,0,0,Team Liquid,T,CT,False,211720,4062
190,216708,EliGE,-902.43634,-171.53574,84.43746,20,de_ancient,0,0,FaZe Clan,T,T,True,211720,4988
152,217800,NAF,1295.7809,-285.38885,109.45081,20,de_ancient,0,0,Team Liquid,T,CT,False,211720,6080
461,217838,frozen,664.55096,427.54697,123.519585,20,de_ancient,0,0,FaZe Clan,T,T,True,211720,6118
270,218384,karrigan,1185.7422,379.8893,123.30399,20,de_ancient,0,0,FaZe Clan,T,T,True,211720,6664
355,219201,Skullz,1306.4966,-354.66162,82.483826,20,de_ancient,0,0,FaZe Clan,T,T,True,211720,7481
73,223465,s1mple,-516.94727,237.5964,162.03125,21,de_ancient,0,0,FaZe Clan,T,T,True,221789,1676
252,223519,ultimate,-1221.8865,-915.9936,39.18972,21,de_ancient,0,0,Team Liquid,T,CT,False,221789,1730
293,223647,frozen,515.45764,-772.3137,112.170586,21,de_ancient,0,0,FaZe Clan,T,T,True,221789,1858
262,224271,NAF,1223.658,-391.83112,62.229527,21,de_ancient,0,0,Team Liquid,T,CT,False,221789,2482
70,225184,NertZ,-2093.676,489.99118,67.03125,21,de_ancient,0,0,Team Liquid,T,CT,False,221789,3395
270,225229,siuhy,362.87524,-887.1617,143.54584,21,de_ancient,0,0,Team Liquid,T,CT,False,221789,3440
152,225340,EliGE,-566.45056,305.29642,162.03128,21,de_ancient,0,0,FaZe Clan,T,T,True,221789,3551
271,226508,Twistzz,-1995.0332,280.19806,87.68088,21,de_ancient,0,0,Team Liquid,T,CT,False,221789,4719
374,227587,karrigan,543.4329,158.29092,154.65475,21,de_ancient,0,0,FaZe Clan,T,T,True,221789,5798
213,230233,s1mple,-630.83795,204.26512,172.03424,22,de_ancient,0,0,FaZe Clan,CT,T,False,228466,1767
360,230241,ultimate,-846.46515,-735.89124,37.270447,22,de_ancient,0,0,Team Liquid,CT,CT,True,228466,1775
474,231364,NertZ,-1027.0309,-203.32092,106.04021,22,de_ancient,0,0,Team Liquid,CT,CT,True,228466,2898
327,231777,s1mple,-1214.5616,915.2336,58.03125,22,de_ancient,0,0,FaZe Clan,CT,T,False,228466,3311
152,231852,Skullz,-886.2866,1070.3156,68.03125,22,de_ancient,0,0,FaZe Clan,CT,T,False,228466,3386
270,231911,frozen,-1173.6399,1020.80273,54.286163,22,de_ancient,0,0,FaZe Clan,CT,T,False,228466,3445
271,232820,NAF,-2085.726,396.51196,74.92085,22,de_ancient,0,0,Team Liquid,CT,CT,True,228466,4354
218,233631,NAF,-1367.0323,502.25266,73.03125,22,de_ancient,0,0,Team Liquid,CT,CT,True,228466,5165
381,238755,frozen,-527.77765,258.1593,162.03125,23,de_ancient,0,0,FaZe Clan,CT,T,False,234679,4076
472,238775,NertZ,-1102.8198,-894.09985,37.064255,23,de_ancient,0,0,Team Liquid,CT,CT,True,234679,4096
470,238833,karrigan,299.45197,-628.5087,154.10736,23,de_ancient,0,0,FaZe Clan,CT,T,False,234679,4154
353,239549,siuhy,285.94208,-918.07794,155.6578,23,de_ancient,0,0,Team Liquid,CT,CT,True,234679,4870
