,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_high,sorted
10103,"frozenset({'M4A4_1', 'AK-47_1', 'M4A1-S_1', 'M4A1-S_3'})",frozenset({'win'}),0.0014114326040931546,0.49964714184897674,0.001058574453069866,0.75,1.5010593220338981,1.0,0.0003533561865222629,2.001411432604093,0.33427561837455827,0.002117148906139732,0.5003526093088857,0.3760593220338983,"frozenset({'M4A4_1', 'AK-47_1', 'M4A1-S_3'})","AK-47_1, M4A1-S_3, M4A4_1"
10137,"frozenset({'M4A1-S_2', 'M4A4_1', 'AK-47_1', 'M4A1-S_3'})",frozenset({'win'}),0.0014114326040931546,0.49964714184897674,0.001058574453069866,0.75,1.5010593220338981,1.0,0.0003533561865222629,2.001411432604093,0.33427561837455827,0.002117148906139732,0.5003526093088857,0.3760593220338983,"frozenset({'M4A4_1', 'AK-47_1', 'M4A1-S_3'})","AK-47_1, M4A1-S_3, M4A4_1"
10141,"frozenset({'M4A1-S_2', 'MP9_1', 'AK-47_1', 'M4A1-S_3'})",frozenset({'win'}),0.0024700070571630206,0.49964714184897674,0.0017642907551164433,0.7142857142857143,1.4295803066989508,1.0,0.0005301587886581379,1.7512350035285815,0.30123806154934557,0.0035260930888575456,0.4289744106387266,0.35890839386602097,"frozenset({'MP9_1', 'AK-47_1', 'M4A1-S_3'})","AK-47_1, M4A1-S_3, MP9_1"
16381,"frozenset({'M4A1-S_2', 'AK-47_1', 'MP9_1', 'M4A1-S_1', 'M4A1-S_3'})",frozenset({'win'}),0.0024700070571630206,0.49964714184897674,0.0017642907551164433,0.7142857142857143,1.4295803066989508,1.0,0.0005301587886581379,1.7512350035285815,0.30123806154934557,0.0035260930888575456,0.4289744106387266,0.35890839386602097,"frozenset({'MP9_1', 'AK-47_1', 'M4A1-S_3'})","AK-47_1, M4A1-S_3, MP9_1"
10107,"frozenset({'MP9_1', 'AK-47_1', 'M4A1-S_1', 'M4A1-S_3'})",frozenset({'win'}),0.0024700070571630206,0.49964714184897674,0.0017642907551164433,0.7142857142857143,1.4295803066989508,1.0,0.0005301587886581379,1.7512350035285815,0.30123806154934557,0.0035260930888575456,0.4289744106387266,0.35890839386602097,"frozenset({'MP9_1', 'AK-47_1', 'M4A1-S_3'})","AK-47_1, M4A1-S_3, MP9_1"
3292,"frozenset({'M4A4_2', 'M4A4_1', 'AK-47_1'})",frozenset({'win'}),0.02611150317572336,0.49964714184897674,0.01799576570218772,0.6891891891891891,1.379351809436555,1.0,0.004949227771057064,1.6098309349206834,0.282395566922421,0.0354412786657401,0.3788167575191551,0.36260306917086577,"frozenset({'M4A4_2', 'AK-47_1'})","AK-47_1, M4A4_2"
3296,"frozenset({'M4A4_3', 'M4A4_1', 'AK-47_1'})",frozenset({'win'}),0.0028228652081863093,0.49964714184897674,0.0017642907551164433,0.625,1.2508827683615817,1.0,0.00035385422202123713,1.3342742884027288,0.20113234253361637,0.003523608174770965,0.2505289139633286,0.3142655367231638,"frozenset({'M4A4_3', 'AK-47_1'})","AK-47_1, M4A4_3"
10151,"frozenset({'M4A4_2', 'M4A4_3', 'AK-47_1', 'M4A4_1'})",frozenset({'win'}),0.0028228652081863093,0.49964714184897674,0.0017642907551164433,0.625,1.2508827683615817,1.0,0.00035385422202123713,1.3342742884027288,0.20113234253361637,0.003523608174770965,0.2505289139633286,0.3142655367231638,"frozenset({'M4A4_3', 'AK-47_1'})","AK-47_1, M4A4_3"
3304,"frozenset({'M4A4_2', 'M4A4_3', 'AK-47_1'})",frozenset({'win'}),0.0028228652081863093,0.49964714184897674,0.0017642907551164433,0.625,1.2508827683615817,1.0,0.00035385422202123713,1.3342742884027288,0.20113234253361637,0.003523608174770965,0.2505289139633286,0.3142655367231638,"frozenset({'M4A4_3', 'AK-47_1'})","AK-47_1, M4A4_3"
3319,"frozenset({'MAC-10_2', 'AK-47_1', 'MAC-10_1'})",frozenset({'win'}),0.01799576570218772,0.49964714184897674,0.011644318983768526,0.6470588235294118,1.2950315719508143,1.0,0.0026527860852865875,1.4176664314278993,0.23199294417404376,0.023012552301255228,0.294615448436074,0.3351819541375873,"frozenset({'MAC-10_2', 'AK-47_1'})","AK-47_1, MAC-10_2"
10157,"frozenset({'MAC-10_2', 'MAC-10_3', 'AK-47_1', 'MAC-10_1'})",frozenset({'win'}),0.0035285815102328866,0.49964714184897674,0.003175723359209598,0.9,1.8012711864406779,1.0,0.0014126776928405902,5.003528581510234,0.44641170915958445,0.006351446718419196,0.8001410437235543,0.4531779661016949,"frozenset({'AK-47_1', 'MAC-10_3'})","AK-47_1, MAC-10_3"
3347,"frozenset({'MAC-10_2', 'AK-47_1', 'MAC-10_3'})",frozenset({'win'}),0.0035285815102328866,0.49964714184897674,0.003175723359209598,0.9,1.8012711864406779,1.0,0.0014126776928405902,5.003528581510234,0.44641170915958445,0.006351446718419196,0.8001410437235543,0.4531779661016949,"frozenset({'AK-47_1', 'MAC-10_3'})","AK-47_1, MAC-10_3"
3324,"frozenset({'MAC-10_1', 'AK-47_1', 'MAC-10_3'})",frozenset({'win'}),0.0035285815102328866,0.49964714184897674,0.003175723359209598,0.9,1.8012711864406779,1.0,0.0014126776928405902,5.003528581510234,0.44641170915958445,0.006351446718419196,0.8001410437235543,0.4531779661016949,"frozenset({'AK-47_1', 'MAC-10_3'})","AK-47_1, MAC-10_3"
2364,"frozenset({'AK-47_2', 'AUG_1', 'AK-47_1'})",frozenset({'win'}),0.005998588567395907,0.49964714184897674,0.0038814396612561752,0.6470588235294118,1.2950315719508143,1.0,0.0008842620284288624,1.4176664314278993,0.22919288733985219,0.007735583684950775,0.294615448436074,0.3274135925556664,"frozenset({'AK-47_2', 'AUG_1'})","AK-47_2, AUG_1"
8730,"frozenset({'AK-47_2', 'AWP_1', 'AUG_1', 'AK-47_1'})",frozenset({'win'}),0.004940014114326041,0.49964714184897674,0.0038814396612561752,0.7857142857142857,1.5725383373688457,1.0,0.0014131757283395645,2.334980004704775,0.36589297227595097,0.007751937984496124,0.5717308079790449,0.39674132364810333,"frozenset({'AK-47_2', 'AWP_1', 'AUG_1'})","AK-47_2, AUG_1, AWP_1"
15794,"frozenset({'AK-47_2', 'AK-47_1', 'AUG_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.0024700070571630206,0.49964714184897674,0.0017642907551164433,0.7142857142857143,1.4295803066989508,1.0,0.0005301587886581379,1.7512350035285815,0.30123806154934557,0.0035260930888575456,0.4289744106387266,0.35890839386602097,"frozenset({'AK-47_2', 'AWP_1', 'AUG_1', 'M4A1-S_1'})","AK-47_2, AUG_1, AWP_1, M4A1-S_1"
15801,"frozenset({'AK-47_2', 'AK-47_1', 'AUG_1', 'AWP_1', 'M4A4_1'})",frozenset({'win'}),0.0017642907551164433,0.49964714184897674,0.0014114326040931546,0.8,1.6011299435028248,1.0,0.0005299097709086508,2.501764290755117,0.37610463061152344,0.0028228652081863093,0.6002820874471086,0.4014124293785311,"frozenset({'AK-47_2', 'AWP_1', 'AUG_1', 'M4A4_1'})","AK-47_2, AUG_1, AWP_1, M4A4_1"
8740,"frozenset({'AK-47_2', 'AUG_1', 'AK-47_1', 'M4A1-S_1'})",frozenset({'win'}),0.0028228652081863093,0.49964714184897674,0.0017642907551164433,0.625,1.2508827683615817,1.0,0.00035385422202123713,1.3342742884027288,0.20113234253361637,0.003523608174770965,0.2505289139633286,0.3142655367231638,"frozenset({'AK-47_2', 'AUG_1', 'M4A1-S_1'})","AK-47_2, AUG_1, M4A1-S_1"
8743,"frozenset({'AK-47_2', 'M4A4_1', 'AUG_1', 'AK-47_1'})",frozenset({'win'}),0.0017642907551164433,0.49964714184897674,0.0014114326040931546,0.8,1.6011299435028248,1.0,0.0005299097709086508,2.501764290755117,0.37610463061152344,0.0028228652081863093,0.6002820874471086,0.4014124293785311,"frozenset({'AK-47_2', 'M4A4_1', 'AUG_1'})","AK-47_2, AUG_1, M4A4_1"
2406,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.20924488355681017,0.49964714184897674,0.12597035991531405,0.6020236087689713,1.204897533369537,1.0,0.0214217518996319,1.2572425630659185,0.21505255381938582,0.21610169491525424,0.20460853825900188,0.42707112641838396,"frozenset({'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1"
8768,"frozenset({'AK-47_2', 'Desert Eagle_1', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.0014114326040931546,0.49964714184897674,0.0014114326040931546,1.0,2.001412429378531,1.0,0.0007062143375455516,inf,0.501060070671378,0.002824858757062147,1.0,0.501412429378531,"frozenset({'AK-47_2', 'AWP_1', 'Desert Eagle_1'})","AK-47_2, AWP_1, Desert Eagle_1"
15821,"frozenset({'AK-47_2', 'AK-47_1', 'Desert Eagle_1', 'Galil AR_1', 'AWP_1'})",frozenset({'win'}),0.001058574453069866,0.49964714184897674,0.001058574453069866,1.0,2.001412429378531,1.0,0.0005296607531591637,inf,0.5008830801836807,0.00211864406779661,1.0,0.5010593220338984,"frozenset({'AK-47_2', 'AWP_1', 'Desert Eagle_1', 'Galil AR_1'})","AK-47_2, AWP_1, Desert Eagle_1, Galil AR_1"
8790,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1', 'Galil AR_1'})",frozenset({'win'}),0.021877205363443897,0.49964714184897674,0.013408609738884969,0.6129032258064516,1.2266721341352287,1.0,0.0024777266073971217,1.2925782168901434,0.18891926786663626,0.02638888888888889,0.22635242731698438,0.319869691999271,"frozenset({'AK-47_2', 'AWP_1', 'Galil AR_1'})","AK-47_2, AWP_1, Galil AR_1"
15848,"frozenset({'AK-47_2', 'AK-47_1', 'Galil AR_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.0017642907551164433,0.49964714184897674,0.0017642907551164433,1.0,2.001412429378531,1.0,0.0008827679219319394,inf,0.5012371862849062,0.0035310734463276836,1.0,0.5017655367231638,"frozenset({'AK-47_2', 'AWP_1', 'Galil AR_1', 'M4A1-S_1'})","AK-47_2, AWP_1, Galil AR_1, M4A1-S_1"
15852,"frozenset({'AK-47_2', 'AK-47_1', 'Galil AR_1', 'AWP_1', 'M4A4_1'})",frozenset({'win'}),0.0007057163020465773,0.49964714184897674,0.0007057163020465773,1.0,2.001412429378531,1.0,0.0003531071687727758,inf,0.5007062146892655,0.0014124293785310737,1.0,0.5007062146892656,"frozenset({'AK-47_2', 'AWP_1', 'Galil AR_1', 'M4A4_1'})","AK-47_2, AWP_1, Galil AR_1, M4A4_1"
8796,"frozenset({'Galil AR_2', 'AK-47_2', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.003175723359209598,0.49964714184897674,0.002117148906139732,0.6666666666666666,1.3342749529190205,1.0,0.000530407806407625,1.5010585744530696,0.25132743362831855,0.00422832980972516,0.3338034790785142,0.3354519774011299,"frozenset({'Galil AR_2', 'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1, Galil AR_2"
10439,"frozenset({'Galil AR_2', 'AK-47_2', 'AWP_1', 'Galil AR_1'})",frozenset({'win'}),0.003175723359209598,0.49964714184897674,0.002117148906139732,0.6666666666666666,1.3342749529190205,1.0,0.000530407806407625,1.5010585744530696,0.25132743362831855,0.00422832980972516,0.3338034790785142,0.3354519774011299,"frozenset({'Galil AR_2', 'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1, Galil AR_2"
15839,"frozenset({'Galil AR_2', 'AK-47_2', 'AK-47_1', 'Galil AR_1', 'AWP_1'})",frozenset({'win'}),0.003175723359209598,0.49964714184897674,0.002117148906139732,0.6666666666666666,1.3342749529190205,1.0,0.000530407806407625,1.5010585744530696,0.25132743362831855,0.00422832980972516,0.3338034790785142,0.3354519774011299,"frozenset({'Galil AR_2', 'AK-47_2', 'AWP_1'})","AK-47_2, AWP_1, Galil AR_2"
8820,"frozenset({'AK-47_2', 'AWP_1', 'AK-47_1', 'M4A1-S_1'})",frozenset({'win'}),0.0561044460127029,0.49964714184897674,0.038461538461538464,0.6855345911949685,1.3720374515865401,1.0,0.010429112366271243,1.5911220889202538,0.2872742862042356,0.0743519781718963,0.37151271611180586,0.381255996162456,"frozenset({'AK-47_2', 'AWP_1', 'M4A1-S_1'})","AK-47_2, AWP_1, M4A1-S_1"
15875,"frozenset({'AK-47_2', 'AK-47_1', 'AWP_1', 'M4A1-S_1', 'M4A4_1'})",frozenset({'win'}),0.012702893436838392,0.49964714184897674,0.009174311926605505,0.7222222222222222,1.445464532328939,1.0,0.0028273475276770774,1.8012702893436836,0.3121460383790619,0.018232819074333804,0.44483623256542854,0.3702919020715631,"frozenset({'AK-47_2', 'AWP_1', 'M4A4_1', 'M4A1-S_1'})","AK-47_2, AWP_1, M4A1-S_1, M4A4_1"
15878,"frozenset({'AK-47_2', 'AK-47_1', 'MAC-10_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.001058574453069866,0.49964714184897674,0.001058574453069866,1.0,2.001412429378531,1.0,0.0005296607531591637,inf,0.5008830801836807,0.00211864406779661,1.0,0.5010593220338984,"frozenset({'AK-47_2', 'AWP_1', 'M4A1-S_1', 'MAC-10_1'})","AK-47_2, AWP_1, M4A1-S_1, MAC-10_1"
